vaccineCenter
Bedok Community Centre
Arena @ OTH
Tampines East Community Center
Marine Parade Community Club
Wisma Geylang Serai
Pasir Ris Elias Community Club
Hougang Community Club
Changi Airport Terminal 4 (Arrival Hall)
Kolam Ayer Community Club
Potong Pasir Community Club
